X-Size,Y-Size,Volume,Face-Area-1,Face-Area-2,Face-Area-3,Face-Area-4,Face-Area-5,Face-Area-6,Rec-X,Rec-Y,Rec-Z,Src-X,Src-Y,Src-Z,X0,Y0,Z0,X1,Y1,Z1,Vec-L,62.5 Hz,125 Hz,250 Hz,500 Hz,1K Htz,2K Hz,4K Hz,8K Hz
6,6,126,21,21,21,21,36,36,0.4,0.5,3.4,0.4,0.5,0.9,2.4,3,0.9,0,0,2.5,2.5,2.624,2.544,2.293,2.208,2.137,2.242,2.278,2.274
4,5,70,17.5,14,17.5,14,20,20,0.2,0.3,3.1,0.7,0.9,1,2.8,0.5,1,-2,3,2.1,4.172529209,1.955,1.996,1.972,1.908,1.852,1.986,2.063,2.089
7,8,196,28,24.5,28,24.5,56,56,0.2,1,1.4,0,0.6,0.3,0,3.2,0.3,1.4,-3.2,1.1,3.661966685,2.184,2.237,2.213,2.191,2.167,2.237,2.259,2.259
4,7,98,24.5,14,24.5,14,28,28,0.5,0.6,2.9,1,0.7,0.9,4,2.1,0.9,-2,0.7,2,2.913760457,1.997,2.085,2.083,2.041,2.008,2.127,2.184,2.189
6,8,168,28,21,28,21,48,48,0.6,0.1,2.1,0.2,0.5,2.3,1.2,4,2.3,2.4,3.2,-0.2,4.004996879,2.173,2.188,2.145,2.104,2.065,2.142,2.166,2.164
4,6,84,21,14,21,14,24,24,0.6,0.3,2.7,0.2,0.6,2.1,0.8,2.4,2.1,1.6,1.8,0.6,2.481934729,2.063,2.084,2.05,1.993,1.949,2.084,2.155,2.168
7,6,147,21,24.5,21,24.5,42,42,0.7,0.2,2.1,0.9,0.3,2.1,6.3,4.2,2.1,-1.4,0.6,0,1.523154621,2.309,2.328,2.26,2.201,2.149,2.249,2.288,2.282
4,4,56,14,14,14,14,16,16,0.3,0.8,1,0.1,0.2,1.2,0.4,3.2,1.2,0.8,-2.4,-0.2,2.537715508,1.92,1.963,1.962,1.9,1.838,2,2.103,2.135
7,8,196,28,24.5,28,24.5,56,56,0.2,0.8,0.8,0.1,0.6,0.9,0.7,3.2,0.9,0.7,-1.6,-0.1,1.749285568,2.434,2.441,2.344,2.282,2.23,2.318,2.35,2.346
8,7,196,24.5,28,24.5,28,56,56,0.2,0.9,0.9,0.7,0.3,2,5.6,4.9,2,-4,-4.2,-1.1,5.903388857,2.204,2.246,2.198,2.159,2.125,2.176,2.192,2.193
4,8,112,28,14,28,14,32,32,0.9,0.1,1.1,0.4,0.4,2.1,1.6,4.8,2.1,2,2.4,-1,3.280243893,2.086,2.124,2.11,2.07,2.037,2.148,2.189,2.187
4,3,42,10.5,14,10.5,14,12,12,0.4,0.8,2.8,0.2,0.2,2.3,0.8,2.4,2.3,0.8,-1.8,0.5,2.032240143,1.905,1.948,1.929,1.856,1.783,1.953,2.067,2.109
4,3,42,10.5,14,10.5,14,12,12,0.2,0.8,2.3,0.2,0.6,3,0.8,1.2,3,0,-0.6,-0.7,0.921954446,1.973,2,1.963,1.883,1.813,1.993,2.117,2.162
4,6,84,21,14,21,14,24,24,0.6,0.7,1.7,0.1,0.6,0.6,0.4,2.4,0.6,2,-0.6,1.1,2.360084744,2.026,2.063,2.045,1.994,1.948,2.078,2.153,2.162
7,7,171.5,24.5,24.5,24.5,24.5,49,49,0.6,0.1,1.7,0.2,0.9,1.6,1.4,0.7,1.6,2.8,5.6,0.1,6.261788882,2.265,2.276,2.198,2.148,2.105,2.174,2.192,2.195
7,5,122.5,17.5,24.5,17.5,24.5,35,35,0.9,0.6,2.6,0.5,0.5,3.2,3.5,2.5,3.2,2.8,-0.5,-0.6,2.906888371,2.246,2.244,2.164,2.094,2.039,2.144,2.186,2.188
6,6,126,21,21,21,21,36,36,0.9,0.9,3.3,0.5,0.1,2.7,3,5.4,2.7,2.4,-4.8,0.6,5.4,2.236,2.262,2.168,2.097,2.037,2.149,2.186,2.185
3,5,52.5,17.5,10.5,17.5,10.5,15,15,0.7,0.3,2.1,0.3,0.9,1.3,0.9,0.5,1.3,1.2,3,0.8,3.328663395,1.875,1.925,1.921,1.867,1.824,1.977,2.076,2.105
4,7,98,24.5,14,24.5,14,28,28,0.5,0,0.6,0.3,0,2,1.2,7,2,0.8,0,-1.4,1.61245155,2.214,2.269,2.25,2.175,2.124,2.288,2.379,2.399
6,6,126,21,21,21,21,36,36,0.5,0.5,2.2,0.3,0.6,3.3,1.8,2.4,3.3,1.2,0.6,-1.1,1.734935157,2.225,2.233,2.183,2.125,2.074,2.178,2.234,2.235
3,7,73.5,24.5,10.5,24.5,10.5,21,21,0.8,0.3,2.2,1,0.2,0.5,3,5.6,0.5,-0.6,-0.7,1.7,1.933907961,1.972,2.036,2.056,2.017,1.987,2.118,2.206,2.208
4,5,70,17.5,14,17.5,14,20,20,0.8,0.1,0.9,0.2,0.6,3.4,0.8,2,3.4,2.4,2.5,-2.5,4.273172124,1.937,1.989,1.975,1.918,1.87,2.014,2.097,2.113
3,4,42,14,10.5,14,10.5,12,12,0.7,0,2.6,0.9,0.1,2.4,2.7,3.6,2.4,-0.6,0.4,0.2,0.748331477,1.987,2.01,1.962,1.884,1.823,2.012,2.149,2.2
6,7,147,24.5,21,24.5,21,42,42,0.7,0.4,2.7,0.3,0.1,1.1,1.8,6.3,1.1,2.4,-2.1,1.6,3.567912555,2.21,2.205,2.182,2.135,2.092,2.185,2.215,2.214
6,5,105,17.5,21,17.5,21,30,30,0.4,0.9,0.5,0.2,0.2,2.5,1.2,4,2.5,1.2,-3.5,-2,4.205948169,2.153,2.175,2.141,2.082,2.023,2.157,2.216,2.219
7,5,122.5,17.5,24.5,17.5,24.5,35,35,0.7,0.8,2,0.6,0.1,1.5,4.2,4.5,1.5,0.7,-3.5,0.5,3.604164258,2.121,2.181,2.151,2.096,2.045,2.146,2.201,2.2
4,7,98,24.5,14,24.5,14,28,28,0.9,0.3,0.9,0.9,0.3,1.5,3.6,4.9,1.5,0,0,-0.6,0.6,2.253,2.325,2.307,2.235,2.174,2.336,2.435,2.448
5,6,105,21,17.5,21,17.5,30,30,0.5,0.2,0.3,0.9,0.2,2,4.5,4.8,2,-2,0,-1.7,2.62488095,2.127,2.157,2.122,2.064,2.013,2.139,2.203,2.212
3,5,52.5,17.5,10.5,17.5,10.5,15,15,0.2,0.2,1.5,0.9,0.6,2.9,2.7,2,2.9,-2.1,2,-1.4,3.220248438,1.876,1.926,1.925,1.866,1.82,1.977,2.081,2.107
4,7,98,24.5,14,24.5,14,28,28,0.1,0.4,0.5,0.9,0.5,3.1,3.6,3.5,3.1,-3.2,0.7,-2.6,4.182104733,2.096,2.14,2.113,2.056,2.025,2.132,2.199,2.198
